id,title,description,link,image_link,price,availability,condition,brand
THEFINALACTOFLIVING-ENGLISH,The Final Act of Living: Reflections of a Long-Time Hospice Nurse," 
 In this full length book, Barbara Karnes shares her insights and experiences gathered over decades of working with people during their final act of living. For both professionals and lay people, this book weaves personal stories with practical care guidelines, including: living with a life threatening illness, signs of the dying process, the stages of grief,  living wills, and other end of life issues.    
  The Final Act of Living: Reflections of a Long-Time Hospice Nurse  is an end of life book; a resource that reads like a novel, yet has the content of a textbook. 
 Barbara wrote this book following years of being a hospice nurse at the bedside of hundreds of people in the months to moments before death. From the stories and experiences she shares, you will see that death doesn't just happen, there is an unfolding; there is a process to dying.  
 The Final Act of Living is used as: 
 *A resource on end of life for palliative care nurses *A training handbook for hospice nurses and volunteers *A reference book for anyone working with end of life issues:     Lay ministers, social workers, counselors, nurses, chaplains *An easy read for anyone interested in dying and grief *A text book in college and university classes,     CNA training, social work and LPN/RN classes 
 This material may be described as an “end of life book” however, as the title states, its content and philosophy is all about  The Final Act of Living . 
   ",https://bkbooks.com/collections/book/products/the-final-act-of-living-reflections-of-a-long-time-hospice-nurse?variant=35190465462428,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/book-the-final-act-of-living-reflections-of-a-long-time-hospice-nurse-1_2e59f19e-9871-467d-a195-ec9c22c45e7a.jpg?v=1600362675,15.0 USD,in stock,New,BK Books
KNOWLEDGEREDUCESFEAR-ENGLISH,Knowledge Reduces Fear: A Resource for End of Life Education," 
   Knowledge Reduces Fear  is a  printed collection of some of Barbara’s most popular posts from her award winning blog,    Something to Think About: A Blog on End of LIfe Care   . In these posts, Barbara responds to questions and concerns from the community; addressing a wide range of topics on end of life care.     
  Barbara believes that knowledge reduces fear and that in our society there is a considerable lack of knowledge about the normal, natural dying process.  Her blog is one of the ways she educates the public and helps neutralize the fear of death. 
  Barbara Karnes, RN, is an internationally respected speaker, educator, author, and thought leader on matters of end of life. She is a renowned authority on the dying process and a leading educator for families, healthcare professionals, and the community at large.  
 We can’t take away the sadness of death. However, talking about it actually alleviates unnecessary pain and stress - because knowledge reduces fear. ",https://bkbooks.com/collections/book/products/knowledge-reduces-fear-a-resource-for-end-of-life-education?variant=35190464577692,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/Knowledge_FC_c39a0e2b-2f54-4ec6-b851-20519633233c.jpg?v=1600362672,6.0 USD,in stock,New,BK Books
NEWRULES-ENGLISH,New Rules for End of Life Care DVD Kit: A Guide on the Stages of Death," 
  Caring for someone as they approach the end of their life is not the same as caring for someone who is going to get better. Unfortunately, most people don't know this. 
 That is why Barbara Karnes, RN created this multi award winning film,    New Rules For End of Life Care, DVD Kit . This educational kit teaches people how to care for their loved one at the end of their life. 
 Whether the patient is at home, in a nursing home or hospital, this kit will give the family valuable information they need to understand the dying process.  
   
 Available  ON DEMAND HERE  
    
  New Rules For End Of Life Care: A Guide On The Stages Of Death  from  Barbara Karnes RN  on  Vimeo . 
    
 
   Kit Includes:  
 
  DVD:  ( 25 minutes) New Rules For End of Life Care : Information on end of life care that addresses not only the behavior changes as they pertain to food, sleep and withdrawal but pain management and the use of narcotics, addiction and overdosing. 
   
  
 
  
 
  
  
   
  BOOKLET: Gone From My Sight -  Detailed information on what you should expect to see in the months, weeks, days and hours approaching death from old age or disease. Offers a short, simple, non medical description of the signs of approaching death.   
   BOOKLET:      The Eleventh Hour -        explains what to do and how to care for your loved one during the end of life process.    
    
  New Rules For End of Life Care  is a powerful educational tool that can be viewed with families as part of the care plan. Many agencies use the film for staff inservice and onboarding. It can also be used as a marketing tool for community education and outreach.   
    
                  
 
 AWARDS : 
 
 
 2015 WORLD HUMANITARIAN AWARDS Gold Winner for International Humanitarian  Award                   
 2015 TELLY AWARD WINNER for Heath and Wellness   
 2015 COMMUNICATOR AWARD WINNER, Gold Award of Excellence Film/Video on Social Issues            
 2015 NATIONAL MATURE MEDIA AWARDS Gold Winner in Consumer Education Programs         
 2015 NATIONAL MATURE MEDIA AWARDS: Merit for Books/ Publications       
 2015 NATIONAL HEALTH INFORMATION AWARDS Gold Winner for Total Health Information Programs 
 2015 CONTENT MARKETING AWARDS finalist. 
 2015 DAVEY AWARD, Silver in Film/Video - Health &amp; Wellness.  
 
   FILM FESTIVALS :   
 
 2015 International Award of Merit from the INTERNATIONAL FILM FESTIVAL  FOR ENVIRONMENT, HEALTH AND CULTURE (IFFEHC) 
 2015 Official Selection, GLOBAL HEALTH FILM FESTIVAL in London 
 2015 Official Selection, FILM FEST 52 in Connecticut 
 2015 Official Selection, AWARENESS FESTIVAL in Los Angeles 
 2015 Official Selection, GLOBAL PUBLIC HEALTH FILM FESTIVAL in Chicago 
 2015 Official Selection, WORLD HUMANITARIAN AWARDS in Jakarta 
 ",https://bkbooks.com/collections/dvd/products/new-rules-for-end-of-life-card-a-guide-on-the-stages-of-death?variant=36961174716572,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/dvd-new-rules-for-end-of-life-care-dvd-kit-a-guide-on-the-stages-of-death-1_72e2a222-f72e-4bb1-8ff0-342fca86a2d9.jpg?v=1600362669,29.0 USD,in stock,New,BK Books
GRIEFEXPLORINGTHEPROCESS-ENGLISH,Exploring the Grieving Process for Hospice and Palliative Care Providers DVD,"    
  Grief: Exploring the Process  is a DVD presentation for health care professionals that offers guidance on navigating the stages of grief. This 58 minute DVD explores the  normality of grief  by defining the  grieving process  and the feelings that unravel as we deal with the loss of someone we know. 
 This DVD suggests ideas for visitations and funerals, addresses differences between male and female grieving patterns, and gives ideas for addressing issues left unresolved by death. 
 Intended audience: Hospice and Palliative Care employees; hospice volunteers; church groups; parish nurses; clergy. 
 Intended use: Employee orientation or in-services for hospice and palliative care; community education; grief training; bereavement groups. 
 This DVD,  Grief: Exploring The Process  is a teaching tool for professionals and lay people alike, with no medical terminology, just simple, direct ideas for understanding the  grieving process .  ",https://bkbooks.com/collections/dvd/products/exploring-the-grieving-process-for-hospice-and-palliative-care-providers?variant=35190464020636,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/Grief_DVD_New_Cover_REV3.jpg?v=1606181933,100.0 USD,in stock,New,BK Books
HOWDOIKNOWYOU?-ENGLISH,How Do I Know You? Dementia at the End of Life," Caring for someone with dementia presents different challenges than caring for people with other health care issues.  Dementia plays by its own rules .  This booklet discusses the challenges in providing end of life care when dementia is the main diagnosis. It provides information to the family, friends, and professionals who are caring for and making end of life decisions on behalf of someone with dementia.   
 
 
 
 
  How Do I Know You? Dementia at the End of Life  is often given to the family upon admission to the Palliative Care program to help them recognize signs of approaching death when dementia is present. It is also given to families when their loved one with dementia has stopped eating. 
 Like all of Barbara's booklets,  How Do I Know You?  is written in large print and the information is conveyed in a simple, direct yet gentle manner. 
 
 
 
 ",https://bkbooks.com/collections/booklets/products/how-do-i-know-you-dementia-at-the-end-of-life?variant=36961174323356,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-how-do-i-know-you-dementia-at-the-end-of-life-1_5b534c43-f949-45ba-9128-67b4b3055bb4.jpg?v=1614460376,3.0 USD,in stock,New,BK Books
YOUNEEDCARETOO-ENGLISH-1,You Need Care Too: Self Care for the Professional Caregiver," As professional caregivers working with people who are dying, we face challenges other health care professionals do not. This booklet is written for the professional end of life caregiver who carries the responsibility of supporting people through the dying process. This booklet reduces caregiver burnout by providing self care insights and suggestions to make their work healthier and more balanced. 
 Health care workers are traditionally trained to make people better, not participate in their patient’s dying and eventual death. End of life work goes against all we as professionals have been taught, and that can be challenging. 
  This booklet is filled with ideas and guidance for the nurse, social worker, nurse’s aide, chaplain, physician, end of life doula, or Eleventh Hour volunteer. Anyone who is immersed in the responsibilities of supporting, educating, and guiding a person and their family through the dying experience can find insight into making their work healthier.  
 Many agencies provide this booklet while showing our 25 minute film  Care For the Care Giver  as an inservice to  promote self care to their staff and team members.    ",https://bkbooks.com/collections/booklets/products/you-need-care-too-self-care-for-the-professional-caregiver?variant=36961176944796,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-you-need-care-too-self-care-for-the-professional-caregiver-1_b3845ece-92a3-4071-8672-5ba02ed88ace_540x.jpg?v=1600362660,3.0 USD,in stock,New,BK Books
CarefortheCaregiver,Care for the Caregiver DVD Kit,"  
  
 
 
  Professionals who support, educate, and guide patients and families through the dying process often carry unrealized grief which can lead to burn out.  
  Agencies use this award winning DVD kit to promote healthy self care practices for their staff and team members, helping them create a more fulfilling work environment.     
 Care For The Caregiver is intended for anyone who is immersed in the responsibilities of supporting, educating, and guiding a person and their family through the dying experience.    
 
 
  nurses  
  social workers  
  nurse’s aides  
  chaplains  
  physicians  
  end of life doulas  
  Eleventh Hour volunteers  
 
 
   
 Available  ON DEMAND HERE       Care for the Caregiver  from  Barbara Karnes RN  on  Vimeo .   
      
  Kit Includes:    
   DVD: Care For The Caregiver (  28 minutes) -  Suggestions for creating a fulfilling work environment, staying balanced and healthy amid constant sadness, and maintaining a happy, engaged personal life. Intended for professionals whose  responsibilities include supporting, educating, and guiding a person and their family through the dying process. 
                                                                        
   BOOKLET: You Need Care Too -  Written for the professional end of life caregiver who carries the responsibility of supporting people through the dying experience. This booklet reduces caregiver burnout by providing self care insights and suggestions to make their work healthier and more balanced.   
 
   
 
 
   
 
   
   
   
           
 
   AWARDS:  
 
 2017 COMMUNICATOR AWARDS DISTINCTION WINNER, Film / Video-Social Issues / Responsibility for Film / Video          
 2017 TELLY AWARDS SILVER WINNER, General-Health and Wellness for Non-Broadcast Productions      
 2017 NATIONAL MATURE MEDIA AWARDS WINNER,  Healthcare:Education/ Training Programs 
 2017 NATIONAL HEALTH INFORMATION AWARDS SILVER WINNER, Nurses/Allied health Professionals 
 
  FILM FESTIVALS  :  
 
  2017 INTERNATIONAL FILM FESTIVAL FOR ENVIRONMENT, HEALTH AND CULTURE (IFFEHC) International Award of Merit  
 2017 DOCS WITHOUT BORDERS FILM FESTIVAL, Official Selection 
 2017 AWARENESS FILM FESTIVAL: Merit Award of Awareness 
 
   
   
 
 
 ",https://bkbooks.com/collections/dvd/products/care-for-the-caregiver-dvd-kit?variant=36961173831836,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/dvd-care-for-the-caregiver-dvd-kit-1_7a95e1ff-105d-493c-9a54-707c8846d347.jpg?v=1600362659,29.0 USD,in stock,New,BK Books
ThisIsHowPeopleDie,This is How People Die DVD,"  This is How People Die  offers an in depth workshop with Barbara Karnes, RN on the dying process. In this three part, award winning DVD, Barbara addresses the normal dying process from the months before to the moment of death.  
 This film is used in continuing education for the following: 
 
 Medical Staff Orientation 
 Hospice Volunteer Training 
 Stephen Ministries 
 Parish Nurses 
 End of Life Doulas 
 Nursing Faculty Inservice &amp;/or Orientation Nursing Schools       
 
   
  Available  ON DEMAND HERE   
    
  This Is How People Die DVD  from  Barbara Karnes RN  on  Vimeo . 
   
  CONTENTS  
  Part One : 65 minutes - Natural process of dying from disease and old age 
  Part Two : 50 minutes - Labor of dying 
  Part Three:  45 minutes - Questions &amp; thoughts   
  PDF Outlines  
  Closed Captioned for the Hearing Impaired     
  Check with your local state board of nursing for CEU eligibility.  
 
      
  AWARDS:   
  
 
 2018 COMMUNICATOR AWARDS DISTINCTION WIINER, Film / Video - Social Issues / Responsibility 
 2018 COMMUNICATOR AWARDS DISTINCTION WIINER, Film / Video - Health and Wellness 
 2018 COMMUNICATOR AWARDS DISTINCTION WIINER, Film / Video - Education / Educational Institutions 
 
  ",https://bkbooks.com/collections/dvd/products/this-is-how-people-die?variant=35190461333660,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/dvd-this-is-how-people-die-dvd-kit-1_9910a1e7-ea73-4722-afa8-e91f99014e3a_540x.jpg?v=1600362651,300.0 USD,in stock,New,BK Books
APLACEINMYHEART-ENGLISH,A Place In My Heart: When Our Pets Die," For people faced with the loss of a beloved animal,  A Place In My Heart: When Our Pets Die  offers direction and support during a difficult and seldom understood time .   
 The experience of a pet dying is traumatic for us. We ﬁnd ourselves feeling fear, confusion, and apprehension. We want to help, but don't know what to do. This booklet provides signs of approaching death, burial options and support through the grief process. 
 A  Place In My Heart  is the   Gone From My Sight   for those who are facing the death of a beloved animal.  
  Like all of Barbara's booklets,  A Place In My Heart    is written in large print and the information is conveyed in a simple, direct yet gentle manner.   ",https://bkbooks.com/collections/booklets/products/a-place-in-my-heart-when-our-pets-die?variant=36961173799068,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-a-place-in-my-heart-when-our-pets-die-1_a8a8d250-912d-4ccc-b18b-7a2150336f6a.jpg?v=1600362648,3.0 USD,in stock,New,BK Books
PAINATENDOFLIFE- ENGLISH,Pain at End of Life: What You Need to Know About End of Life Comfort and Pain Management,"  This booklet is intended for families and professionals dealing with narcotics and pain management as end of life approaches.   There can be fear and misconception surrounding pain management at end of life. This booklet is used to ease the confusion and apprehension surrounding narcotic administration.   
    Pain at End of Life   addresses:  
 
 pain as it relates to the dying process 
 fear of overdosing and addiction 
 standardized dosages 
 around the clock administration 
 laxatives 
 uses of morphine 
 sedation as it relates to dying 
 supplemental therapies 
 
 Like all of Barbara's booklets,  Pain at End of Life  is written in large print and the information is conveyed in a simple, direct yet gentle manner.  
  This booklet is included in the      End of Life Guideline Series .  ",https://bkbooks.com/collections/booklets/products/pain-at-end-of-life-what-you-need-to-know-about-end-of-life-comfort-and-pain-management?variant=36961175634076,https://cdn.shopify.com/s/files/1/0438/1995/8428/products/booklet-pain-at-end-of-life-what-you-need-to-know-about-end-of-life-comfort-and-pain-management-1_d176eca8-ed22-41ab-b4b3-f888498e3ba2.jpg?v=1614460732,3.0 USD,in stock,New,BK Books
